PWM ID,Cognate TF,ID,NR_sites,References,Superclass,Class,Family,Subfamily
AJ_E2F3::EOMES,E2f3::Eomes,E2F3::EOMES_001,620,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F3::EOMES
AJ_E2F3::FOXI1,E2f3::Foxi1,E2F3::FOXI1_001,2498,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F3::FOXI1
AJ_E2F3::FOXO6_001,E2f3::Foxo6,E2F3::FOXO6_001,688,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F3::FOXO6
AJ_E2F3::FOXO6_002,E2f3::Foxo6,E2F3::FOXO6_002,1689,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F3::FOXO6
AJ_E2F3::HES7,E2f3::Hes7,E2F3::HES7_001,858,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F3::HES7
AJ_E2F3::ONECUT2_001,E2f3::Onecut2,E2F3::ONECUT2_001,4243,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F3::ONECUT2
AJ_E2F3::ONECUT2_002,E2f3::Onecut2,E2F3::ONECUT2_002,2041,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F3::ONECUT2
AJ_E2F3::TBX21_001,E2f3::Tbx21,E2F3::TBX21_001,528,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F3::TBX21
AJ_E2F3::TBX21_002,E2f3::Tbx21,E2F3::TBX21_002,247,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F3::TBX21
AJ_E2F3::TBX21_003,E2f3::Tbx21,E2F3::TBX21_003,486,"Jolma A et al., Nature, 2015",Other,Other,Composite,E2F3::TBX21
AJ_ELF2_001,Elf2,ELF2_002,101998,"Jolma A et al., Nature, 2015",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Elf-1-like factors
AJ_ELF2_002,Elf2,ELF2_003,33827,"Jolma A et al., Nature, 2015",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Elf-1-like factors
AJ_ELK1::EOMES_001,Elk1::Eomes,ELK1::EOMES_001,1879,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::EOMES
AJ_ELK1::EOMES_002,Elk1::Eomes,ELK1::EOMES_002,471,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::EOMES
AJ_ELK1::EOMES_003,Elk1::Eomes,ELK1::EOMES_003,11162,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::EOMES
AJ_ELK1::ETV7,Elk1::Etv7,ELK1::ETV7_001,4897,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::ETV7
AJ_ELK1::EVX1,Elk1::Evx1,ELK1::EVX1_001,1341,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::EVX1
AJ_ELK1::FOXI1_001,Elk1::Foxi1,ELK1::FOXI1_001,5514,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::FOXI1
AJ_ELK1::FOXI1_002,Elk1::Foxi1,ELK1::FOXI1_002,1172,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::FOXI1
AJ_ELK1::FOXI1_003,Elk1::Foxi1,ELK1::FOXI1_003,6649,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::FOXI1
AJ_ELK1::FOXI1_004,Elk1::Foxi1,ELK1::FOXI1_004,1363,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::FOXI1
AJ_ELK1::FOXI1_005,Elk1::Foxi1,ELK1::FOXI1_005,756,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::FOXI1
AJ_ELK1::FOXI1_006,Elk1::Foxi1,ELK1::FOXI1_006,316,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::FOXI1
AJ_ELK1::HOXA1_001,Elk1::Hoxa1,ELK1::HOXA1_001,85,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::HOXA1
AJ_ELK1::HOXA1_002,Elk1::Hoxa1,ELK1::HOXA1_002,570,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::HOXA1
AJ_ELK1::HOXA3_001,Elk1::Hoxa3,ELK1::HOXA3_001,920,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::HOXA3
AJ_ELK1::HOXA3_002,Elk1::Hoxa3,ELK1::HOXA3_002,3052,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::HOXA3
AJ_ELK1::HOXB13_001,Elk1::Hoxb13,ELK1::HOXB13_001,7245,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::HOXB13
AJ_ELK1::HOXB13_002,Elk1::Hoxb13,ELK1::HOXB13_002,585,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::HOXB13
AJ_ELK1::ONECUT2_001,Elk1::Onecut2,ELK1::ONECUT2_001,80,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::ONECUT2
AJ_ELK1::ONECUT2_002,Elk1::Onecut2,ELK1::ONECUT2_002,866,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::ONECUT2
AJ_ELK1::PAX1,Elk1::Pax1,ELK1::PAX1_001,1627,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::PAX1
AJ_ELK1::PAX5,Elk1::Pax5,ELK1::PAX5_001,7056,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::PAX5
AJ_ELK1::PAX9,Elk1::Pax9,ELK1::PAX9_001,1827,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::PAX9
AJ_ELK1::SPDEF,Elk1::Spdef,ELK1::SPDEF_001,6352,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::SPDEF
AJ_ELK1::SREBF2_001,Elk1::Srebf2,ELK1::SREBF2_001,1117,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::SREBF2
AJ_ELK1::SREBF2_002,Elk1::Srebf2,ELK1::SREBF2_002,903,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::SREBF2
AJ_ELK1::TBX21_001,Elk1::Tbx21,ELK1::TBX21_001,3234,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::TBX21
AJ_ELK1::TBX21_002,Elk1::Tbx21,ELK1::TBX21_002,8274,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::TBX21
AJ_ELK1::TBX21_003,Elk1::Tbx21,ELK1::TBX21_003,2167,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::TBX21
AJ_ELK1::TBX21_004,Elk1::Tbx21,ELK1::TBX21_004,856,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::TBX21
AJ_ELK1::TEF,Elk1::Tef,ELK1::TEF_001,1928,"Jolma A et al., Nature, 2015",Other,Other,Composite,ELK1::TEF
AJ_ERF::CEBPD,Erf::Cebpd,ERF::CEBPD_001,1698,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::CEBPD
AJ_ERF::CLOCK,Erf::Clock,ERF::CLOCK_001,45,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::CLOCK
AJ_ERF::DLX2_001,Erf::Dlx2,ERF::DLX2_001,525,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::DLX2
AJ_ERF::DLX2_002,Erf::Dlx2,ERF::DLX2_002,895,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::DLX2
AJ_ERF::DLX3_001,Erf::Dlx3,ERF::DLX3_001,371,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::DLX3
AJ_ERF::DLX3_002,Erf::Dlx3,ERF::DLX3_002,254,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::DLX3
AJ_ERF::EOMES_001,Erf::Eomes,ERF::EOMES_001,696,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::EOMES
AJ_ERF::EOMES_002,Erf::Eomes,ERF::EOMES_002,585,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::EOMES
AJ_ERF::ETV7,Erf::Etv7,ERF::ETV7_001,1916,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::ETV7
AJ_ERF::FIGLA,Erf::Figla,ERF::FIGLA_001,13829,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::FIGLA
AJ_ERF::FOXI1_001,Erf::Foxi1,ERF::FOXI1_001,2781,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::FOXI1
AJ_ERF::FOXI1_002,Erf::Foxi1,ERF::FOXI1_002,967,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::FOXI1
AJ_ERF::FOXI1_003,Erf::Foxi1,ERF::FOXI1_003,1236,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::FOXI1
AJ_ERF::FOXO1,Erf::Foxo1,ERF::FOXO1_001,411,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::FOXO1
AJ_ERF::HES7_001,Erf::Hes7,ERF::HES7_001,240,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::HES7
AJ_ERF::HES7_002,Erf::Hes7,ERF::HES7_002,142,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::HES7
AJ_ERF::HES7_003,Erf::Hes7,ERF::HES7_003,147,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::HES7
AJ_ERF::HOXA3,Erf::Hoxa3,ERF::HOXA3_001,721,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::HOXA3
AJ_ERF::HOXB13,Erf::Hoxb13,ERF::HOXB13_001,2509,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::HOXB13
AJ_ERF::MAX,Erf::Max,ERF::MAX_001,6827,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::MAX
AJ_ERF::NHLH1,Erf::Nhlh1,ERF::NHLH1_001,340,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::NHLH1
AJ_ERF::ONECUT2,Erf::Onecut2,ERF::ONECUT2_001,490,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::ONECUT2
AJ_ERF::PITX1_001,Erf::Pitx1,ERF::PITX1_001,130,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::PITX1
AJ_ERF::PITX1_002,Erf::Pitx1,ERF::PITX1_002,162,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::PITX1
AJ_ERF::SREBF2_001,Erf::Srebf2,ERF::SREBF2_001,149,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::SREBF2
AJ_ERF::SREBF2_002,Erf::Srebf2,ERF::SREBF2_002,412,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::SREBF2
AJ_ERF::TBX21_001,Erf::Tbx21,ERF::TBX21_001,1980,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::TBX21
AJ_ERF::TBX21_002,Erf::Tbx21,ERF::TBX21_002,17808,"Jolma A et al., Nature, 2015",Other,Other,Composite,ERF::TBX21
AJ_ETS2,Ets2,ETS2_002,7620,"Jolma A et al., Nature, 2015",Helix-turn-helix domains,Tryptophan cluster factors,Ets-related factors,Ets-like factors
AJ_ETV2::BHLHA15,Etv2::Bhlha15,ETV2::BHLHA15_001,133,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::BHLHA15
AJ_ETV2::CEBPD,Etv2::Cebpd,ETV2::CEBPD_001,1586,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::CEBPD
AJ_ETV2::CLOCK,Etv2::Clock,ETV2::CLOCK_001,15085,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::CLOCK
AJ_ETV2::DLX2_001,Etv2::Dlx2,ETV2::DLX2_001,619,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::DLX2
AJ_ETV2::DLX2_002,Etv2::Dlx2,ETV2::DLX2_002,596,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::DLX2
AJ_ETV2::DLX3_001,Etv2::Dlx3,ETV2::DLX3_001,2571,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::DLX3
AJ_ETV2::DLX3_002,Etv2::Dlx3,ETV2::DLX3_002,2909,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::DLX3
AJ_ETV2::DLX3_003,Etv2::Dlx3,ETV2::DLX3_003,5898,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::DLX3
AJ_ETV2::DLX3_004,Etv2::Dlx3,ETV2::DLX3_004,2488,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::DLX3
AJ_ETV2::DRGX_001,Etv2::Drgx,ETV2::DRGX_001,1897,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::DRGX
AJ_ETV2::DRGX_002,Etv2::Drgx,ETV2::DRGX_002,1315,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::DRGX
AJ_ETV2::EOMES_001,Etv2::Eomes,ETV2::EOMES_001,2448,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::EOMES
AJ_ETV2::EOMES_002,Etv2::Eomes,ETV2::EOMES_002,4148,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::EOMES
AJ_ETV2::EOMES_003,Etv2::Eomes,ETV2::EOMES_003,2176,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::EOMES
AJ_ETV2::ETV7,Etv2::Etv7,ETV2::ETV7_001,9572,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::ETV7
AJ_ETV2::EVX1,Etv2::Evx1,ETV2::EVX1_001,1379,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::EVX1
AJ_ETV2::FIGLA_001,Etv2::Figla,ETV2::FIGLA_001,4124,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::FIGLA
AJ_ETV2::FIGLA_002,Etv2::Figla,ETV2::FIGLA_002,17435,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::FIGLA
AJ_ETV2::FOXI1_001,Etv2::Foxi1,ETV2::FOXI1_001,2084,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::FOXI1
AJ_ETV2::FOXI1_002,Etv2::Foxi1,ETV2::FOXI1_003,558,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::FOXI1
AJ_ETV2::FOXI1_003,Etv2::Foxi1,ETV2::FOXI1_004,633,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::FOXI1
AJ_ETV2::FOXI1_004,Etv2::Foxi1,ETV2::FOXI1_005,12791,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::FOXI1
AJ_ETV2::FOXI1_005,Etv2::Foxi1,ETV2::FOXI1_002,2270,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::FOXI1
AJ_ETV2::FOXO6,Etv2::Foxo6,ETV2::FOXO6_001,4608,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::FOXO6
AJ_ETV2::GSC2_001,Etv2::Gsc2,ETV2::GSC2_001,994,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::GSC2
AJ_ETV2::GSC2_002,Etv2::Gsc2,ETV2::GSC2_002,1219,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::GSC2
AJ_ETV2::GSC2_003,Etv2::Gsc2,ETV2::GSC2_003,812,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::GSC2
AJ_ETV2::GSC2_004,Etv2::Gsc2,ETV2::GSC2_004,1240,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::GSC2
AJ_ETV2::GSC2_005,Etv2::Gsc2,ETV2::GSC2_005,816,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::GSC2
AJ_ETV2::HES7_001,Etv2::Hes7,ETV2::HES7_001,5546,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::HES7
AJ_ETV2::HES7_002,Etv2::Hes7,ETV2::HES7_002,4434,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::HES7
AJ_ETV2::HES7_003,Etv2::Hes7,ETV2::HES7_003,4383,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::HES7
AJ_ETV2::HOXA2_001,Etv2::Hoxa2,ETV2::HOXA2_001,5417,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::HOXA2
AJ_ETV2::HOXA2_002,Etv2::Hoxa2,ETV2::HOXA2_002,9749,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::HOXA2
AJ_ETV2::HOXB13_001,Etv2::Hoxb13,ETV2::HOXB13_001,4314,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::HOXB13
AJ_ETV2::HOXB13_002,Etv2::Hoxb13,ETV2::HOXB13_002,5648,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::HOXB13
AJ_ETV2::NHLH1_001,Etv2::Nhlh1,ETV2::NHLH1_001,4821,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::NHLH1
AJ_ETV2::NHLH1_002,Etv2::Nhlh1,ETV2::NHLH1_002,6660,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::NHLH1
AJ_ETV2::ONECUT2_001,Etv2::Onecut2,ETV2::ONECUT2_001,1862,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::ONECUT2
AJ_ETV2::ONECUT2_002,Etv2::Onecut2,ETV2::ONECUT2_002,1463,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::ONECUT2
AJ_ETV2::ONECUT2_003,Etv2::Onecut2,ETV2::ONECUT2_003,1960,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::ONECUT2
AJ_ETV2::ONECUT2_004,Etv2::Onecut2,ETV2::ONECUT2_004,3475,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::ONECUT2
AJ_ETV2::ONECUT2_005,Etv2::Onecut2,ETV2::ONECUT2_005,2780,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::ONECUT2
AJ_ETV2::PAX5,Etv2::Pax5,ETV2::PAX5_001,4662,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::PAX5
AJ_ETV2::PITX1,Etv2::Pitx1,ETV2::PITX1_001,1785,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::PITX1
AJ_ETV2::RFX5_001,Etv2::Rfx5,ETV2::RFX5_001,2251,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::RFX5
AJ_ETV2::RFX5_002,Etv2::Rfx5,ETV2::RFX5_002,1255,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::RFX5
AJ_ETV2::RFX5_003,Etv2::Rfx5,ETV2::RFX5_003,852,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::RFX5
AJ_ETV2::RFX5_004,Etv2::Rfx5,ETV2::RFX5_004,897,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::RFX5
AJ_ETV2::SOX15_001,Etv2::Sox15,ETV2::SOX15_001,882,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::SOX15
AJ_ETV2::SOX15_002,Etv2::Sox15,ETV2::SOX15_002,759,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::SOX15
AJ_ETV2::SOX15_003,Etv2::Sox15,ETV2::SOX15_003,1324,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::SOX15
AJ_ETV2::SOX15_004,Etv2::Sox15,ETV2::SOX15_004,1494,"Jolma A et al., Nature, 2015",Other,Other,Composite,ETV2::SOX15
